"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-15,770,780,760,770,5,0.65,365584,3.75,815,0,-1630,0,0.31,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-14,755,775,750,765,15,2.0,794006,3.71,-52788,0,105576,0,0.31,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-11,740,760,735,750,15,2.04,385613,3.9,-43944,0,87888,0,0.2,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-10,750,750,730,735,-10,-1.34,315734,3.94,500,0,-500,0,0.1,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-09,740,750,740,745,-5,-0.67,290068,4.16,23419,0,-46838,0,0.1,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-08,755,770,745,750,-10,-1.32,534916,4.05,-25621,0,-48758,0,0.15,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-07,740,760,735,760,25,3.4,662995,4.01,-23807,0,65976,0,0.21,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-04,740,745,730,735,-5,-0.68,280254,4.06,-6623,0,13754,0,0.13,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-03,740,745,730,740,0,0.0,226138,3.89,-6113,0,-5926,0,0.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-02,730,750,725,740,20,2.78,539114,4.04,-2963,0,5926,0,0.13,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-12-01,720,735,705,720,-10,-1.37,630714,4.24,11773,0,-23546,0,0.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-30,685,735,685,730,45,6.57,696531,4.7,-65168,0,129336,0,0.15,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-27,745,750,685,685,-70,-9.27,1150667,4.73,106053,0,-214706,0,0.0,0,0
